feature,coefficient,abs_coefficient
cat__admission_type_EU OBSERVATION,-1.7083674394636288,1.7083674394636288
cat__admission_type_URGENT,1.1971044775369089,1.1971044775369089
cat__admission_type_DIRECT OBSERVATION,-0.9104988088546023,0.9104988088546023
cat__admission_location_CLINIC REFERRAL,0.8980085120015305,0.8980085120015305
cat__admission_location_PROCEDURE SITE,-0.8604890570770781,0.8604890570770781
cat__marital_status_Unknown,-0.8595952112304965,0.8595952112304965
cat__race_OTHER,-0.8541224587111933,0.8541224587111933
cat__admission_type_ELECTIVE,0.7304573080274085,0.7304573080274085
cat__admission_location_PACU,-0.702037720870017,0.702037720870017
cat__race_WHITE - OTHER EUROPEAN,0.6727041610376805,0.6727041610376805
cat__race_WHITE - BRAZILIAN,0.6338839277419467,0.6338839277419467
cat__admission_type_OBSERVATION ADMIT,0.6279046862424644,0.6279046862424644
cat__marital_status_WIDOWED,0.5727226338478758,0.5727226338478758
cat__age_band_18-39,0.5402751050720594,0.5402751050720594
cat__race_PATIENT DECLINED TO ANSWER,0.5310543948496296,0.5310543948496296
cat__admission_location_INTERNAL TRANSFER TO OR FROM PSYCH,0.528292196571776,0.528292196571776
cat__admission_location_WALK-IN/SELF REFERRAL,-0.5251758206301231,0.5251758206301231
cat__race_HISPANIC/LATINO - CUBAN,-0.5120855872456993,0.5120855872456993
cat__age_band_60-69,-0.4441707262251877,0.4441707262251877
cat__race_UNABLE TO OBTAIN,-0.40225431753347746,0.40225431753347746
